ID,No. de caja,Secuencia de expedientes,No. de expediente,Contenido,Fecha,No. de Ley/Resolución/Decreto,Observaciones,Tipo de Iniciativa,Resolución / contrato
1122,8,2091-2150,2134,"Proyecto de ley que introduce algunas modificaciones en los artículos 31, 34, 57 y 64 del Código de Comercio.",11/08/1936,Ley #1145,,Proyecto de Ley,
1123,8,2091-2150,2135,Proyecto de ley que autoriza transferencias de fondos en el Cap. III-I de la ley de Gastos Públicos.,12/08/1936,-,,Proyecto de Ley,
1124,8,2091-2150,2136,Proyecto de ley que reforma la ley Núm. 611 (deposito a los dominicanos que salgan del país).,13/08/1936,Ley #1142,,Proyecto de Ley,
1125,8,2091-2150,2137,Proyecto de ley que modifica los artículos 80 y 90 del Código de Procedimiento Criminal.,13/08/1936,Ley #1143,,Proyecto de Ley,
1126,8,2091-2150,2138,Proyecto de ley relativo al registro de industrias.,15/08/1936,Ley #1147,,Proyecto de Ley,
1127,8,2091-2150,2139,Instalación del Senado en su 7ª Legislatura Ordinaria de 1936.,16/08/1936,-,,Sesión constitucional,
1128,8,2091-2150,2140,Proyecto de ley que autoriza transferencias de fondos de los Caps. IX (general) y XIII (especial) al Cap. XIII (especial) de la ley de Gastos Públicos.,30/04/1936,-,,Proyecto de Ley,
1129,8,2091-2150,2141,Protocolo adicional a la Convención General de Conciliación Interamericana.,09/05/1936,Resolución #1107,,Resolución,
1130,8,2091-2150,2142,Proyecto de ley por cuyo medio se modifican las leyes No. 91 y No. 151 que instituyen la Orden Juan Pablo Duarte.,09/05/1936,Ley #1113,,Proyecto de Ley,
1131,8,2091-2150,2143,Proyecto de resolución por cuyo medio se da autorización al honorable Presidente de la República para ausentarse del país. ,11/05/1936,Resolución #1101,,Resolución,
1132,8,2091-2150,2144, Proyecto de ley que autoriza transferencias de fondos en el Cap. III-I de la ley de Gastos Públicos.,20/08/1936,-,,Proyecto de Ley,
1133,8,2091-2150,2145,Proyecto de ley que designa con el nombre de “Pico Trujillo” la cumbre más alta de la montaña “La Pelona” en la común de San José de las Matas.,26/08/1936,Ley #1164,,Proyecto de Ley,
1134,8,2091-2150,2146,Proyecto de ley por medio del cual se hace obligatorio el cierre de las cantinas o establecimientos para la venta de mercaderías a bordo de buques procedentes de otros países.,27/08/1936,-,,Proyecto de Ley,
1135,8,2091-2150,2147,Proyecto de ley que autoriza transferencias de fondos en el cap. VII de la ley de Gastos Públicos.,27/08/1936,-,,Proyecto de Ley,
1136,8,2091-2150,2148,Proyecto de ley sobre exoneración o reembolso sobre los impuestos de Rentas Internas.,28/08/1936,Ley #1159,,Proyecto de Ley,
1137,8,2091-2150,2149,Proyecto de ley por cuyo medio se modifican los artículos 2 y 24 de la ley sobre Armas de Fuego.,01/09/1936,Ley #1156-Bis,,Proyecto de Ley,
1138,8,2091-2150,2150,"Proyecto de ley por cuyo medio se incorpora la sección de Macasía a la común de Elías Piña , en la provincia de Azua.",01/09/1936,Ley #1157,,Proyecto de Ley,
1139,Pendiente,2151-2210,2151,Terna enviada por el Jefe del Partido Dominicano por renuncia del Sr. Teódulo Pina Chevalier del cargo de senador por la provincia Trujillo.,01/09/1936,-,,Terna,
1140,Pendiente,2151-2210,2152,Proyecto de ley que designa con el nombre de “Presidente Trujillo” el parque de recreo de la común de Salcedo.,01/09/1936,Ley #1161,,Proyecto de Ley,
1141,Pendiente,2151-2210,2153,"Proyecto de ley por medio del cual se declaran exentas del impuesto sobre movimiento de carga, las mercancías en tránsito para otros puertos y deroga la Ley Núm. 1313.",14/09/1936,Ley #1165,,Proyecto de Ley,
1142,Pendiente,2151-2210,2154,Proyecto de ley que faculta al Poder Ejecutivo para liquidar los contratos de mensuras catastrales.,15/09/1936,Ley #1183,,Proyecto de Ley,
1143,Pendiente,2151-2210,2155,Proyecto de ley por medio del cual se deroga el artículo 2 de la (1129) que declaró exento de los derechos de arrimo y manejo sobre los muelles al maíz producido en la República.,09/09/1936,Ley #1162,,Proyecto de Ley,
1144,Pendiente,2151-2210,2156,Proyecto de ley que designa con el nombre de “Julia Molina” una de las calles de la ciudad de Moca. ,14/09/1932,Ley #1168,,Proyecto de Ley,
1145,Pendiente,2151-2210,2157,Proyecto de ley que designa con el nombre de “Presidente Trujillo”  la calle “Mencía” de la común de Barahona.,17/09/1936,Ley #1166,,Proyecto de Ley,
1146,Pendiente,2151-2210,2158,Proyecto de ley que designa con el nombre de “José María Michel” la calle “Colón” de la común de Moca. ,17/09/1936,Ley #1179-Bis,,Proyecto de Ley,
1147,Pendiente,2151-2210,2159,Proyecto de ley que designa con el nombre de “Julia Molina” la “Av. Independencia” de la ciudad de San Pedro de Macorís. ,17/09/1936,Ley #1171,,Proyecto de Ley,
1148,Pendiente,2151-2210,2160,Proyecto de ley que designa con el nombre de “Manuel Ubaldo Gómez y Moya” la calle “Colón” de la ciudad de La Vega.,17/09/1936,Ley #1170,,Proyecto de Ley,
1149,Pendiente,2151-2210,2161,Proyecto de ley que designa con el nombre “José Trujillo Valdez” un parque de recreo de la ciudad Monseñor Nouel.,17/09/1936,Ley #1174,,Proyecto de Ley,
1150,Pendiente,2151-2210,2162,Proyecto de ley que designa con el nombre de “María de los Ángeles Martínez de Trujillo” a la Av. “Caleta” de la ciudad de La Romana.,17/09/1936,Ley #1169,,Proyecto de Ley,
1151,Pendiente,2151-2210,2163,Proyecto de ley que designa con el nombre de “Presidente Trujillo” un parque de recreo de la ciudad de Puerto Plata.,17/09/1936,Ley #1167,,Proyecto de Ley,
1152,Pendiente,2151-2210,2164,Proyecto de ley que designa con el nombre de “José Trujillo Valdez” la calle Beller de la ciudad de El Seibo. ,22/09/1936,Ley #1178,,Proyecto de Ley,
1153,Pendiente,2151-2210,2165,Proyecto de ley que dispone la construcción de un parque infantil de recreo que llevara el nombre de “Ramfis” (La Romana).,22/09/1936,Ley #1177,,Proyecto de Ley,
1154,Pendiente,2151-2210,2166,Proyecto de ley que designa con el nombre de “Mariana Vda. Hall” una calle de la ciudad de San Felipe de Puerto Plata.,22/09/1936,Ley #1175,,Proyecto de Ley,
1155,Pendiente,2151-2210,2167,Proyecto de ley que designa con el nombre de “José Trujillo Valdez” la calle “General Reyes” de la población de Neiba.,22/09/1936,Ley #1176,,Proyecto de Ley,
1156,Pendiente,2151-2210,2168,Proyecto de ley que designa con el nombre de “José Trujillo Valdez” la calle Independencia de la ciudad de Jánico.,22/09/1936,Ley #1180,,Proyecto de Ley,
1157,Pendiente,2151-2210,2169,Proyecto de ley que designa con el nombre de “José Trujillo Valdez” la calle “27 de Febrero” de la población de Luperón.,22/09/1936,Ley 1179,,Proyecto de Ley,
1158,Pendiente,2151-2210,2170,Proyecto de ley que designa con el nombre “José Trujillo Valdez” la calle 3ª de E a O de la población de La Romana. ,22/09/1936,Ley #1182,,Proyecto de Ley,
1159,Pendiente,2151-2210,2171,Proyecto de ley que designa con el nombre de “José Trujillo Valdez” la calle “Comercio” de la población de Enriquillo.,22/09/1936,Ley #1181,,Proyecto de Ley,
1160,Pendiente,2151-2210,2172,"Proyecto de ley que designa con el nombre “Presidente Trujillo” la plaza “Duarte” de la ciudad de Moca, así como la erección de un busto del Benefactor.",17/09/1936,Ley #1173,,Proyecto de Ley,
1161,Pendiente,2151-2210,2173,Proyecto de ley que designa con el nombre de “Presidente Trujillo” el parque de recreo de la ciudad de Samaná.,17/09/1936,Ley #1172,,Proyecto de Ley,
1162,Pendiente,2151-2210,2174,"Proyecto de resolución por la cual se declara duelo oficial los días 6, 7 y 8 con motivo del fallecimiento del general Apolinar Rey, diputado.",05/10/1936,Resolución #1184,,Resolución,
1163,Pendiente,2151-2210,2175,Proyecto de ley que modifica el artículo 83 de la Ley de Policía.,05/10/1936,Ley #1192,,Proyecto de Ley,
1164,Pendiente,2151-2210,2176,Proyecto de ley que autoriza transferencia en los fondos generales de la ley de Gastos Públicos (Cap. IX).,06/10/1936,-,,Proyecto de Ley,
1165,Pendiente,2151-2210,2177,Proyecto de ley que autoriza transferencia en los fondos generales de la Ley de Gastos Públicos del Cap. XII al Cap. I.,06/10/1936,-,,Proyecto de Ley,
1166,Pendiente,2151-2210,2178,Proyecto de ley que regula la importación del arroz.,07/10/1936,Ley #1191,,Proyecto de Ley,
1167,Pendiente,2151-2210,2179,Proyecto de ley por cuyo medio se modifica el artículo 6 de la Ley Núm. 768 sobre contratos de colonos.,08/10/1936,Ley #1189,,Proyecto de Ley,
1168,Pendiente,2151-2210,2180,"Terna enviada por el Jefe del Partido Dominicano por renuncia del senador Emilio A. Morel, por la provincia de El Seibo.",14/10/1936,-,,Sesión constitucional,
1169,Pendiente,2151-2210,2181,"Proyecto de ley que designa con el nombre de “Miches” la común denominada Jovero, de la provincia de El Seibo.",15/10/1936,Ley #1186,,Proyecto de Ley,
1170,Pendiente,2151-2210,2182,Proyecto de ley que da el nombre de “Altar de la Patria” al baluarte “27 de Febrero”.,15/10/1936,Ley #1185,,Proyecto de Ley,
1171,Pendiente,2151-2210,2183,Proyecto de ley que designa con el nombre de “General Santana” el puente construido sobre el río Sanate y “Juan Sánchez Ramírez” el que cruza sobre el río “Chavón”.,15/10/1936,Ley #1187,,Proyecto de Ley,
1172,Pendiente,2151-2210,2184,Proyecto de ley que transfiere fondos de la de Gastos Públicos vigente (Secretaría de Estado de Agricultura).,16/10/1936,-,,Proyecto de Ley,
1173,Pendiente,2151-2210,2185,Proyecto de ley que autoriza transferencias en los fondos generales de la Ley de Gastos Públicos dentro del Cap. V.,16/10/1936,-,,Proyecto de Ley,
1174,Pendiente,2151-2210,2186,Proyecto de ley que autoriza transferencias dentro del Cap. III-I de la Ley de Gastos Públicos.,19/10/1936,-,,Proyecto de Ley,
1175,Pendiente,2151-2210,2187,Proyecto de ley por cuyo medio se modifica nuevamente el artículo 8 de la ley de impuesto sobre movimiento de carga y servicios de muelle.,19/10/1936,Ley #1202,,Proyecto de Ley,
1176,Pendiente,2151-2210,2188,Proyecto de ley contra el comunismo.,21/10/1936,Ley #1203,,Proyecto de Ley,
1177,Pendiente,2151-2210,2189,Proyecto de ley por cuyo medio se crea la Orden del Mérito Agrícola.,21/10/1936,Ley #1204 Bis,,Proyecto de Ley,
1178,Pendiente,2151-2210,2190,Proyecto de ley que designa con el nombre de Presidente Trujillo el parque central de la ciudad de San Cristóbal.,14/10/1936,Ley #1195,,Proyecto de Ley,
1179,Pendiente,2151-2210,2191,Proyecto de ley que cambia el nombre a dos calles de la población de Baní (Julia Molina y Restauración). ,14/10/1936,Ley #1196,,Proyecto de Ley,
1180,Pendiente,2151-2210,2192,"Proyecto de ley que designa a la común y Villa de Sabaneta con el nombre de General Santiago Rodríguez y se dispone el traslado de sus restos a la Capilla de los Inmortales, en la Santa Basílica Metropolitana.",14/10/1936,Ley #1194,,Proyecto de Ley,
1181,Pendiente,2151-2210,2193,Proyecto de ley que declara Día de Fiesta Nacional el 24 de octubre de cada año por ser este día el natalicio del presidente de la República generalísimo Rafael Leónidas Trujillo Molina.,20/10/1936,Ley #1193,,Proyecto de Ley,
1182,Pendiente,2151-2210,2194,Proyecto de ley que dispone la forma de pago estipulada en el contrato intervenido entre el Estado dominicano y la sucesión del finado Bartolo Bancalari.,26/10/1936,Ley #1198,,Proyecto de Ley,
1183,Pendiente,2151-2210,2195,Proyecto de ley sobre represión del contrabando.,22/10/1936,Ley #1197,,Proyecto de Ley,
1184,Pendiente,2151-2210,2196,Proyecto de ley que establece los requisitos que han de cumplir los dominicanos que salgan del país.,28/10/1936,Ley #1211,,Proyecto de Ley,
1185,Pendiente,2151-2210,2197,Proyecto de ley que crea un impuesto adicional para las harinas que se introduzcan en el país.,28/10/1936,Ley #1200,,Proyecto de Ley,
1186,Pendiente,2151-2210,2198,Proyecto de ley que designa con el nombre de Erciná Chevalier el puente sobre el río Camú en la carretera Rincón – San Francisco de Macorís.,28/10/1936,Ley #1209,,Proyecto de Ley,
1187,Pendiente,2151-2210,2199,Proyecto de ley por cuyo medio queda derogada la orden ejecutiva Núm. 664 (restableciendo los artículos 311 y 401 del Código Penal).,30/10/1936,Ley #1220,,Proyecto de Ley,
1188,Pendiente,2151-2210,2200,Proyecto de ley sobre Radiocomunicaciones.,02/11/1936,-,,Proyecto de Ley,
1189,Pendiente,2151-2210,2201,Proyecto de ley que autoriza transferencias en los fondos generales de la Ley de Gastos Públicos dentro del Cap. XI. ,03/11/1936,-,,Proyecto de Ley,
1190,Pendiente,2151-2210,2202,Proyecto de ley que designa con el nombre de “Presidente Trujillo” una calle de la ciudad de Constanza.,28/10/1936,Ley #1205,,Proyecto de Ley,
1191,Pendiente,2151-2210,2203,Proyecto de ley que designa con el nombre de “Presidente Trujillo” el parque central de la ciudad de Higüey.,28/10/1936,Ley #1206,,Proyecto de Ley,
1192,Pendiente,2151-2210,2204,Proyecto de ley que da el nombre de “Presidente Trujillo” a una calle de la población de Cabral.,04/11/1936,Ley #1207,,Proyecto de Ley,
1193,Pendiente,2151-2210,2205,Proyecto de ley que autoriza transferencia en los fondos generales de la Ley de Gastos Públicos dentro del Cap. X.,05/11/1936,-,,Proyecto de Ley,
1194,Pendiente,2151-2210,2206,Proyecto de ley que autoriza transferencia de fondos del Cap. VII de la Ley de Gastos Públicos.,09/11/1936,-,,Proyecto de Ley,
1195,Pendiente,2151-2210,2207,Proyecto de ley que autoriza transferencia de fondos dentro del Cap. VII-I de la Ley de Gastos Públicos. ,10/11/1936,-,,Proyecto de Ley,
1196,Pendiente,2151-2210,2208,Proyecto de resolución que prorroga por 30 días más la Legislatura Ordinaria iniciada el 16 de agosto de 1936.,10/11/1936,Resolución #1208,,Resolución,
1197,Pendiente,2151-2210,2209,"Proyecto de ley que autoriza la erección del busto del generalísimo Máximo Gómez, y se faculta al Poder Ejecutivo para declarar día de fiesta el que se señale para la erección de dicho busto.",12/11/1936,Ley #1210,,Proyecto de Ley,
1198,Pendiente,2151-2210,2210,Proyecto de ley por cuyo medio se jubila con una pensión vitalicia de $150.00 al Dr. Federico Henríquez y Carvajal.,17/11/1936,Ley #1222,,Proyecto de Ley,
1199,Pendiente,2211-2270,2211,"Proyecto de ley que autoriza transferencia de balances economizados en varios Caps. de la Ley de Gastos Públicos (Policía Nacional, Secretaría de Estado de Comercio, Industria y Trabajo).",17/11/1936,-,,Proyecto de Ley,
1200,Pendiente,2211-2270,2212,Proyecto de ley que deroga la Ley de Minas.,17/11/1936,Ley #1221,,Proyecto de Ley,
1201,Pendiente,2211-2270,2213,"Terna enviada por el Jefe y Director del Partido Dominicano para llenar la vacante producida por la renuncia del senador Augusto Chottin, senador por el Distrito de Santo Domingo. ",23/11/1936,-,,Terna,
1202,Pendiente,2211-2270,2214,Proyecto de ley que designa con el nombre de “Generalísimo Trujillo” una de las calle de la ciudad de Bayaguana.,25/11/1936,Ley #1218,,Proyecto de Ley,
1203,Pendiente,2211-2270,2215,Proyecto de ley que designa con el nombre de “Julia Molina” una de las calles de la ciudad de San Cristóbal.,25/11/1936,Ley #1217,,Proyecto de Ley,
1204,Pendiente,2211-2270,2216,Proyecto de ley que suprime especializaciones de fondos contenidas en varias leyes desde el 1°de enero de 1937.,28/11/1936,Ley #1223,,Proyecto de Ley,
1205,Pendiente,2211-2270,2217,Proyecto de ley que regula el procedimiento de embargo practicado por los acreedores de contratistas de trabajos públicos.,30/11/1936,Ley #1226,,Proyecto de Ley,
1206,Pendiente,2211-2270,2218,Proyecto de ley por el cual se jubila al Sr. Manuel Ma. Cruz con $50.00 mensuales.,01/12/1936,Ley #1227,,Proyecto de Ley,
1207,Pendiente,2211-2270,2219,Proyecto de Ley de Gastos Públicos para el año 1937.,30/11/1936,Ley #1225,,Proyecto de Ley,
1208,Pendiente,2211-2270,2220,Proyecto de ley que modifica el parrado 2do del artículo 19 de la Ley de Organización Comunal.  ,01/12/1936,Ley #1219,,Proyecto de Ley,
1209,Pendiente,2211-2270,2221,Proyecto de ley que deroga la Orden Ejecutiva No. 664.,01/12/1936,Ley #1220,,Proyecto de Ley,
1210,Pendiente,2211-2270,2222,Proyecto de ley que concede un nuevo plazo para que los acreedores del Tesoro Publico procedan a canjear los análisis de sus créditos por las certificaciones de crédito a que se refiere la Ley No. 1090.,03/12/1936,Ley #1224 Bis,,Proyecto de Ley,
1211,Pendiente,2211-2270,2223,Proyecto de ley que modifica el artículo 47 de la Ley de Organización Comunal.,04/12/1936,Ley #1239,,Proyecto de Ley,
1212,Pendiente,2211-2270,2224,Proyecto de ley que modifica la Núm. 670 en el sentido de que la prioridad se aplique solamente a las mensuras catastrales de iniciativa privada. ,10/12/1936,Ley #1237,,Proyecto de Ley,
1213,Pendiente,2211-2270,2225,Proyecto de ley que modifica el título 2do de la Ley de Patentes #792.,14/12/1936,Ley #1235,,Proyecto de Ley,
1214,Pendiente,2211-2270,2226,Proyecto de ley por medio del cual se declara exentos de ciertos derechos e impuestos a los barcos nacionales o extranjeros que carguen frutas y hortalizas de producción nacional para puertos extranjeros.,10/12/1936,Ley #1233,,Proyecto de Ley,
1215,Pendiente,2211-2270,2227,"Proyecto de ley por medio del cual se establece en 2 años la prescripción de las acciones contra el Estado que tengan por causa el daño o perjuicio causado por leyes, decretos, resoluciones o reglamentos.",16/12/1936,Ley #1232,,Proyecto de Ley,
1216,Pendiente,2211-2270,2228,Proyecto de ley que declara el día 11 de enero de 1937 Día del Benefactor de la Patria.,15/12/1936,Ley #1242,,Proyecto de Ley,
1217,Pendiente,2211-2270,2229,Proyecto de ley que designa “Generalísimo Trujillo” una calle de la población de Monte Plata.,15/12/1936,Ley #1233 Bis,,Proyecto de Ley,
1218,Pendiente,2211-2270,2230,"Proyecto de Ley sobre Organización de Cámaras de Comercio, Industria y Agricultura.",15/12/1936,Ley #1234,,Proyecto de Ley,
1219,Pendiente,2211-2270,2231,Proyecto de resolución que dispone dirigir al honorable Presidente de la República un mensaje de felicitación y agradecimiento por las numerosas obras de bien colectivo realizadas en el país durante el año 1936.,17/12/1936,-,,Resolución,
1220,Pendiente,2211-2270,2232,Proyecto de ley que designa “Julia Molina” la calle “Separación” de Puerto Plata.,17/12/1936,Ley #1234 Bis,,Proyecto de Ley,
1221,Pendiente,2211-2270,2233,Proyecto de ley que autoriza transferencia de fondos dentro del Cap. III-I de la Ley de Gastos Públicos.,15/12/1936,-,,Proyecto de Ley,
1222,Pendiente,2211-2270,2234,Proyecto de resolución que dispone colocar un busto del honorable Presidente de la República en las salas de sesiones del Senado y de la Cámara de Diputados.,22/12/1936,Resolución #1241,,Resolución,
1223,Pendiente,2211-2270,2235,Proyecto de ley que autoriza transferencias en los fondos generales de la Ley de Gastos Públicos dentro del Cap. VII. ,16/12/1936,-,,Proyecto de Ley,
1224,Pendiente,2211-2270,2236,Proyecto de ley modificativo de la No. 1214 que transfiere fondos correspondientes a los servicios de sanidad nacional en el Cap. X de la Ley de Gastos Públicos.,18/12/1936,-,,Proyecto de Ley,
1225,Pendiente,2211-2270,2237,Proyecto de ley que suprime el apartado 5° del artículo 2 de la Ley de Impuesto sobre Movimiento de Carga y Servicio de Muelle y Almacenaje.,23/12/1936,Ley #1238,,Proyecto de Ley,
1226,Pendiente,2211-2270,2238,"Proyecto de ley que destina la suma de $33.080.00 del superávit de $57.125.25 estimado en la Ley de Gastos Públicos para el año 1937 a fin de aumentar las apropiaciones de los Caps. II, III, IV, V, VI, XI, XIII-I.",18/12/1936,-,,Proyecto de Ley,
1227,Pendiente,2211-2270,2239,Proyecto de ley por cuyo medio se reglamenta el cierre de los establecimientos comerciales (observada).,12/01/1937,-,Contiene comentario “observada” al lado del número de expediente,Proyecto de Ley,
1228,Pendiente,2211-2270,2240,Proyecto de ley que da el  nombre de “José Trujillo Valdez” a un parque en proyecto de esta Ciudad Trujillo.,12/01/1937,Ley #1251,,Proyecto de Ley,
1229,Pendiente,2211-2270,2241,"Proyecto de ley por cuyo medio se aumenta en $1.500.00 la apropiación destinada al sostenimiento de la Policía Nacional, durante el año 1937. ",12/01/1937,-,,Proyecto de Ley,
1230,Pendiente,2211-2270,2242,"Proyecto de ley que autoriza transferencias en los fondos generales de la Ley de Gastos Públicos, destinados a la atención de diversas necesidades de la Administración.",12/01/1937,-,,Proyecto de Ley,
1231,Pendiente,2211-2270,2243,"Proyecto de ley que autoriza transferencias en el fondo general de la Ley de Gastos Públicos, Caps. I, IV, IX, y IX-I.",12/01/1937,-,,Proyecto de Ley,
1232,Pendiente,2211-2270,2244,Proyecto de ley que modifica los párrafos 179 y 180 de la Ley No. 854 de (Imp. de Rentas Internas).,12/01/1937,Ley #1246,,Proyecto de Ley,
1233,Pendiente,2211-2270,2245,"Proyecto de resolución por el cual se concede el título de Protector de los Niños Pobres, al coronel Rafael Leónidas Trujillo Martínez.",12/01/1937,Ley #1252,,Resolución,
1234,Pendiente,2211-2270,2246,Designación de una comisión para que haga una revisión y estudio de las leyes que establecen días de fiestas.,26/01/1937,-,,Proyecto de Ley,
1235,Pendiente,2211-2270,2247,Proyecto de ley por cuyo medio queda excluido el cemento Portland Blanco de la aplicación de los requisitos de inspección y certificación establecidos por la Ley No. 1141.,29/01/1937,Ley #1255,,Proyecto de Ley,
1236,Pendiente,2211-2270,2248,"Terna enviada por el Jefe y Director del Partido Dominicano para llenar la vacante ocasionada por la renuncia del senador por la provincia de Puerto Plata, don Carlos Ginebra.",02/02/1937,-,,Terna,
1237,Pendiente,2211-2270,2249,Instalación de las cámaras legislativas en su 8ª Legislatura Extraordinaria.,03/02/1937,-,,Sesión constitucional,
1238,Pendiente,2211-2270,2250,"Proyecto de ley que designa con el nombre de Eugenio Miches el puente sobre el río Soco, en la carretera Mella, próximo a la ciudad de Santa Cruz de El Seibo.",08/02/1937,Ley #1258,,Proyecto de Ley,
1239,Pendiente,2211-2270,2251,Proyecto de ley sobre acuñación de monedas.,12/02/1937,Ley #1259,,Proyecto de Ley,
1240,Pendiente,2211-2270,2252,Proyecto de ley que designa con el nombre de “Coronel Ramfis” a la calle “Colón” de la ciudad de San Felipe de Puerto Plata.,10/02/1937,Ley #1256,,Proyecto de Ley,
1241,Pendiente,2211-2270,2253,Proyecto de ley que concede jubilación a la enfermera Sta. Manuela Salazar.,10/02/1937,Ley #1257,,Proyecto de Ley,
1242,Pendiente,2211-2270,2254,Proyecto de ley que designa con el nombre de “Julia Molina” la calle “Presidente Vásquez” de La Vega.,18/02/1932,Ley #1260,,Proyecto de Ley,
1243,Pendiente,2211-2270,2255,"Proyecto de ley que determina las atribuciones de los inspectores de costas, cargo creado en la Ley de Gastos Públicos.",17/02/1937,Ley #1262,,Proyecto de Ley,
1244,Pendiente,2211-2270,2256,Proyecto de ley que aumenta los ingresos fiscales para el 1937.,26/02/1937,-,,Proyecto de Ley,
1245,Pendiente,2211-2270,2257,"Instalación de las cámaras legislativas, el Senado en su Legislatura Ordinaria de 1937.",27/02/1937,-,,Sesión constitucional,
1246,Pendiente,2211-2270,2258,Proyecto de ley que restablece la jubilación concedida a la Srta. Mercedes Laura Aguiar por la Ley de Gastos Públicos del año 1912.,01/03/1937,Ley #1265,,Proyecto de Ley,
1247,Pendiente,2211-2270,2259,Proyecto de ley que autoriza la permuta de un solar del Estado con el Ayuntamiento de El Cercado.  ,04/03/1937,Ley #1263,,Proyecto de Ley,
1248,Pendiente,2211-2270,2260,Proyecto de ley que designa con el nombre de Julia Molina la calle Mercedes de la población de Pimentel. ,04/03/1937,Ley #1269,,Proyecto de Ley,
1249,Pendiente,2211-2270,2261,Proyecto de ley que autoriza al Poder Ejecutivo vender 2 propiedades inmobiliarias pertenecientes al Estado Dominicano y procedentes de los bienes dejados por la finada Srta. Graciela Bernard.,04/03/1937,Ley #1268,,Proyecto de Ley,
1250,Pendiente,2211-2270,2262,Proyecto de ley que autoriza transferencias de fondos con cargo al superávit.,04/03/1937,-,,Proyecto de Ley,
1251,Pendiente,2211-2270,2263,Proyecto de ley por cuyo medio el puerto de Ciudad Trujillo queda designado con el nombre de Puerto Trujillo.,10/03/1937,Ley #1356,,Proyecto de Ley,
1252,Pendiente,2211-2270,2264,Proyecto de ley por cuyo medio se autorizan modificaciones en la estimación de ingresos y en los fondos generales y especiales de la Ley de Gastos Públicos para 1937. ,05/03/1937,-,,Proyecto de Ley,
1253,Pendiente,2211-2270,2265,Proyecto de ley que dispone la celebración de los primeros Juegos Olímpicos Nacionales.,08/03/1937,Ley #1272,,Proyecto de Ley,
1254,Pendiente,2211-2270,2266,"Proyecto de ley por cuyo medio el domingo 30 del mes de mayo de 1937 “Día de las Madres”, se declara especialmente “Día de doña Julia Molina Vda. Trujillo Vásquez”.",16/03/1937,Ley #1276,,Proyecto de Ley,
1255,Pendiente,2211-2270,2267,"Proyecto de ley por el cual se opera un aumento en la Ley de Gastos Públicos, con cargo al balance del superávit estimado de ingresos.",10/03/1937,-,,Proyecto de Ley,
1256,Pendiente,2211-2270,2268,Proyecto de ley por cuyo medio se modifica nuevamente el artículo 1° de la Ley de Impuesto sobre Cigarros y Cigarrillos.,17/03/1937,Ley #1274,,Proyecto de Ley,
1257,Pendiente,2211-2270,2269,"Proyecto de ley que designa con el nombre de “Presidente Trujillo” la calle “Manuela Diez Jiménez”, de la ciudad de El Seibo y “Manuela Diez Jiménez” la calle “Presidente Trujillo”.",18/03/1937,Ley #1267,,Proyecto de Ley,
1258,Pendiente,2211-2270,2270,"Proyecto de ley por cuyo medio se exoneran  del pago de los impuestos establecidos por la Ley de Inmigración los sacerdotes del culto católico, apostólico, romano que vengan al país o residan en él y se dediquen al ejercicio activo de su ministerio religioso.",07/04/1937,Ley #1279,,Proyecto de Ley,
1259,Pendiente,2271-2306,2271,"Terna enviada por el Jefe del Partido Dominicano para llenar la vacante producida por la renuncia del senador por la provincia de La Vega, licenciado Juan José Sánchez.",18/03/1937,-,,Terna,
1260,Pendiente,2271-2306,2272,Proyecto de ley sobre la observancia de días de fiesta y duelo nacional.,16/03/1937,Ley #1278,,Proyecto de Ley,
1261,Pendiente,2271-2306,2273,"Proyecto de ley por el cual se adopta una bandera simbólica para el Ejército Nacional, representativa de sus diversas armas y de su más alta jerarquía.",22/03/1937,Ley #1282,,Proyecto de Ley,
1262,Pendiente,2271-2306,2274,"Proyecto de ley por el cual se trasladan las atribuciones relativas a la dirección y organización del turismo, que están a cargo de la Secretaría de Estado de Comunicaciones y Obras Públicas, a la Secretaría de Estado de Comercio, Industria y Trabajo.",07/04/1937,Ley #1281,,Proyecto de Ley,
1263,Pendiente,2271-2306,2275,Proyecto de resolución por cuyo medio se aprueba el contrato intervenido entre el Estado y el Sr. Isidro A. Frómeta en fecha 8 de abril de 1937.,13/04/1937,Resolución #1280,,Resolución,
1264,Pendiente,2271-2306,2276,"Proyecto de ley que hace una donación de terrenos a la Iglesia Católica, Apostólica y Romana.",14/04/1937,Ley #1283,,Proyecto de Ley,
1265,Pendiente,2271-2306,2277,Proyecto de ley que modifica el párrafo 2do del artículo 19 de la Ley de Organización Comunal.,12/04/1937,Ley #1287,,Proyecto de Ley,
1266,Pendiente,2271-2306,2278,"Proyecto de resolución que aprueba todos los actos realizados  por el Poder Ejecutivo durante el año 1936, por ser ajustados a la constitución y a las leyes.",15/04/1937,Resolución #1284,,Proyecto de Ley,
1267,Pendiente,2271-2306,2279,Proyecto de ley que aprueba el informe presentado por la Cámara de Cuentas.,20/04/1937,Ley #1285,,Proyecto de Ley,
1268,Pendiente,2271-2306,2280,Proyecto de ley por medio del cual se crea una condecoración que se denominara “Medalla Conmemorativa del 23 de Febrero de 1930” para ser otorgada a los miembros del Ejército Nacional.,15/04/1937,Ley #1290,,Proyecto de Ley,
1269,Pendiente,2271-2306,2281,Proyecto de ley que crea un  nuevo cargo de Subsecretario de Estado de Justicia.,16/04/1937,Ley #1289,,Proyecto de Ley,
